id;judge_id;challenger_1;challenger_2;winner;start_time;end_time;pool_number
1;super;pushy abaft from;pleasure;cleverly;2018-11-26T05:27:21;2018-11-26T01:34:17;23472
2;likable;upsell;slink;deliberately boo;2018-11-25T18:17:26;2018-11-26T00:25:59;31128
3;nasalise;scarily milky mmm;including yum;up amidst;2018-11-26T10:46:29;2018-11-26T08:04:31;28131
4;rubric;stint;excluding or;scale;2018-11-26T15:32:58;2018-11-26T15:25:07;3671
5;heroine because till;till;but blah;derby candid quarrelsomely;2018-11-26T00:04:08;2018-11-26T00:31:50;173
6;sarcastic lively;phooey phew;avaricious furthermore truly;fit;2018-11-26T12:30:42;2018-11-25T19:25:25;15658
7;circulate;indeed account;tough limp;gut willfully;2018-11-26T15:33:51;2018-11-25T18:26:12;13931
8;accompany since alienated;athwart;as whether;readmit underneath iridescence;2018-11-26T00:18:21;2018-11-25T20:09:42;30495
9;SUV offset;emphasise however;anenst prestigious through;gee;2018-11-25T21:59:27;2018-11-26T12:27:40;21252
10;supposing towards;than;passionate interviewer yippee;tame blissfully esteemed;2018-11-26T09:57:02;2018-11-26T16:19:15;19300
